Name,Description,Rating,Reviews,Launched Date,Categories,Support Email
S:Request a Quote & Hide Price ," Request a Quote & Hide Price: Easily interact with customers regarding best prices for products  Request a Quote & Hide Price app allows customers to request a quote (call for price/make an offer) for one, some products or the whole shopping cart easily. Customers will add their preferred items to the quote with their wished prices. After viewing the quote requests, store owners can approve, cancel, discuss with customers and modify the quotes, all updates will be notified by email.
Feel free to try our app to understand why merchants around the world trust us.   Request a Quote & Hide Price app allows customers to request a quote (call for price/make an offer) for one, some products or the whole shopping cart easily. Customers will add their preferred items to the quote with their wished prices. After viewing the quote requests, store owners can approve, cancel, discuss with customers and modify the quotes, all updates will be notified by email.
Feel free to try our app to understand why merchants around the world trust us.  more         Easily add the quote button/form to any product and collection page         Convert quotes to draft orders automatically or with just 1 click         Auto-approve quote based on pre-set discount (%)         Show by product, collection, type, vendor, tag, out of stock, language, country         Multi-form [ADVANCED PLAN]: only available with Quick Quote feature    ",Rating (5),88,"November 22, 2021","Custom pricing and quotes, Managing orders - Other, Custom pricing and quotes, Managing orders - Other",storeifyapps@gmail.com
A2Reviews ‑ Product Reviews ," Drive sales with positive reviews from loving photos and videos. Easy to import reviews.  With A2Reviews you can easily manage reviews on your website. The products that are selling on your store will get an increase in purchase rate and increase the rate of customers returning to buy the product. Because provide a smart solution for importing and exporting product reviews. Easily collect reviews from customers who have purchased a product.   With A2Reviews you can easily manage reviews on your website. The products that are selling on your store will get an increase in purchase rate and increase the rate of customers returning to buy the product. Because provide a smart solution for importing and exporting product reviews. Easily collect reviews from customers who have purchased a product.  more         The review importer from Amazon and AliExpress is easy and fast to use.         The review editor is intuitive, easy to use, and supports many tools.         The display of languages is diverse, supporting most languages in the world.    ",Rating (4.9),68,"June 18, 2020","Product reviews, Product reviews",support@a2rev.com
Request a Quote Hide Price B2B ," Offer a request for quote button on selected products
Automatically receive quote mail notifications  Why choose Easy Quote? 
All basic functions you need without charges！
Straightforward operation interface helps you get started within no time. Focus on expanding customer source more efficient instead of adding more dazzling functions. 
An easy 2 steps set-up 1. Add products that you want to show \""Request a Quote\"" button. 2. Enable APP #Hide Prices, Add to Cart Button and Buy Now Button The feature to hide price and “add to cart” button is effective for your B2B clients who have different...   Why choose Easy Quote? 
All basic functions you need without charges！
Straightforward operation interface helps you get started within no time. Focus on expanding customer source more efficient instead of adding more dazzling functions. 
An easy 2 steps set-up 1. Add products that you want to show \""Request a Quote\"" button. 2. Enable APP #Hide Prices, Add to Cart Button and Buy Now Button The feature to hide price and “add to cart” button is effective for your B2B clients who have different...  more         Request for quote button on selected products         Hide Prices, Add to Cart Button and Buy Now Button         Automatically send email to you when new quote is made    ",Rating (4.9),49,"March 2, 2022","Custom pricing and quotes, Custom pricing and quotes",quote@sealapps.com
Drop A Hint 2.0 ," Engage your online \""window shoppers\""
Personalized hints will help you sell and increase revenue  With Drop A Hint 2.0, you can quickly and easily create customizable hint cards. Upload your logo, fonts, brand colors, etc., or use our elegant default design. Style the button to match your site and publish the app to your store. With Drop A Hint 2.0, your visitors will become your best brand ambassadors by sending hints to their loved ones. Sending hints via email, SMS, and postal mail,  will increase your revenue and help your business. Track app performance with our live Dashboard Analytics   With Drop A Hint 2.0, you can quickly and easily create customizable hint cards. Upload your logo, fonts, brand colors, etc., or use our elegant default design. Style the button to match your site and publish the app to your store. With Drop A Hint 2.0, your visitors will become your best brand ambassadors by sending hints to their loved ones. Sending hints via email, SMS, and postal mail,  will increase your revenue and help your business. Track app performance with our live Dashboard Analytics  more         Easy to use click and drag hint editor. Upload custom fonts, colors, logo, etc.         Send hint with SMS. Integration with Klaviyo, Omnisend, Privy, Shopify Email         Realtime analytics with webhooks for inbox performance tracking. Custom reports.         Independent fully customizable mobile hint editor. Auto follow up and coupons         Fully customizable hint cards and button. Custom .CSS and HTML option    ",Rating (4.6),71,"October 5, 2021","Gift registry, Gift registry",support@appsolute.us
Proviews ‑ Product Reviews Q&A ," Auto collect verified reviews, engage more shoppers and boost conversions for your store.  Proviews is your one-stop solution for your product review management requirements. Automate review collection process. Use app\'s widgets to showcase reviews on your online store. Enhance your store’s authenticity & increase brand engagement with product reviews and Q&A. Improve your organic ranking with UGC and the rich snippets that we generate. While advertising, submit product review feed and earn more trust amidst online shoppers. Showcase Site Reviews(NPS Score) for your store.   Proviews is your one-stop solution for your product review management requirements. Automate review collection process. Use app\'s widgets to showcase reviews on your online store. Enhance your store’s authenticity & increase brand engagement with product reviews and Q&A. Improve your organic ranking with UGC and the rich snippets that we generate. While advertising, submit product review feed and earn more trust amidst online shoppers. Showcase Site Reviews(NPS Score) for your store.  more         Collect Photos & Videos reviews on Autopilot along with Q&A for online store         Generate Product Ratings feed for Google and Bing Ads (Microsoft) to improve CTR         Experience completely unbranded services with our Domain White Labelling feature         Collect Site Reviews(NPS Score) to reflect customer\'s experiences for your store         Seamless migration with options to import previously collected reviews    ",Rating (5),50,"June 11, 2021","SEO, Product reviews, SEO, Product reviews",+919723663337
Booster: EU Cookie Bar GDPR ," Create a beautiful GDPR cookie consent bar before you\'ve finished your first coffee  Display a cookie consent or GDPR banner to your store visitors. You can choose to show the cookie bar for every country in the world or only EU countries. The app is user friendly and easy to customize so you can match the design of your shop. Use directly within the Shopify admin for a seamless workflow. You can display a beautiful  banner or bar to accept cookies. To decline cookies, you must provide your own instructions in your privacy policy to ensure you are in compliance with the GDPR.   Display a cookie consent or GDPR banner to your store visitors. You can choose to show the cookie bar for every country in the world or only EU countries. The app is user friendly and easy to customize so you can match the design of your shop. Use directly within the Shopify admin for a seamless workflow. You can display a beautiful  banner or bar to accept cookies. To decline cookies, you must provide your own instructions in your privacy policy to ensure you are in compliance with the GDPR.  more         Show a cookie bar or GDPR consent banner and link to your privacy policy         Customize the banner settings and text using our simple code-free style editor         Customize the cookie bar design and colors to match your theme and brand         Show your cookie consent GDPR banner globally or for EU customers only         24/7 live chat human support for when you have questions or need a hand    ",Rating (4.6),"2,994","December 9, 2016","Banners, Legal, Banners, Legal",support+cookie@boosterapps.com
Price A/B Test ‑ ABConvert ," Maximize your profits with our price A/B testing tools.  ABConvert allows you to run A/B tests for the pricing of any of your products without effort. You can create up to 5 testing groups with varying prices to determine the optimal price for each product. Our comprehensive analytics provide clear insights into the impact of pricing changes for each test, enabling you to identify the best pricing strategy. With our price A/B testing and 24/7 support, boosting your store\'s profits has never been easier.   ABConvert allows you to run A/B tests for the pricing of any of your products without effort. You can create up to 5 testing groups with varying prices to determine the optimal price for each product. Our comprehensive analytics provide clear insights into the impact of pricing changes for each test, enabling you to identify the best pricing strategy. With our price A/B testing and 24/7 support, boosting your store\'s profits has never been easier.  more         Run unlimited A/B tests for any number of products         No need to change product page URL in Shopify for your Google/Facebooks ad         Customize traffic distribution across multiple test prices. (50/50, 10/20/70)         Track AOV, Conversion, and Margin impacts in real-time dashboard         Easy-to-use workflow, no need of copy-pasting code. Set up quickly    ",Rating (5),18,"October 31, 2022","Competitive pricing, Pricing - Other, Competitive pricing, Pricing - Other",support@abconvert.io
G:Request a Quote + Hide Price ," Allows your customers to submit quotes for any product and bargain for the best price  With Globo Request for Quote, buyers can add products to quote in one click from collection and product pages as well as from the shopping cart. Let customers suggest new best-suited prices and add remarks to each quote item.

With this app you can also hide price, hide add-to-cart button of a product. Require customer login to see product prices   With Globo Request for Quote, buyers can add products to quote in one click from collection and product pages as well as from the shopping cart. Let customers suggest new best-suited prices and add remarks to each quote item.

With this app you can also hide price, hide add-to-cart button of a product. Require customer login to see product prices  more         Convert a quote to an order. Convert RFQ to PDF. REST API access         Display RFQ button on any page. Automatic send new quote email.         Customize your RFQ form with Form Builder: upload file, text, email, phone, etc.         Login to see price. Hide product prices based on tag, vendor, collection, etc.    ",Rating (4.9),295,"June 8, 2017","Custom pricing and quotes, Custom pricing and quotes",apps@globosoftware.net
Product Reviews + UGC with Q/A ," Build trust and increase purchases by showing positive experiences with product and photo reviews.  Use our straightforward Product Reviews app to gather social proof for your products. Our app lets merchants easily import reviews and ratings into their store, ask current customers for photo reviews in exchange for discounts, and show positive customer reviews to increase orders and build social proof with automated review emails. Every part can be changed, including the reviews\' layout, the way the carousel widget is set up, and the design and color of the rating symbols.   Use our straightforward Product Reviews app to gather social proof for your products. Our app lets merchants easily import reviews and ratings into their store, ask current customers for photo reviews in exchange for discounts, and show positive customer reviews to increase orders and build social proof with automated review emails. Every part can be changed, including the reviews\' layout, the way the carousel widget is set up, and the design and color of the rating symbols.  more         Choose one of six built-in review layouts and enhance the customer experience.         A built-in Google Shopping feed will store all your reviews under one roof.         The average rating widget will ensure you get quick feedback.         By introducing the product Q/A, you will reduce the possibility of returns.         Incentivize your customers with a promo code in exchange for a review.    ",Rating (4.6),295,"April 5, 2018
          ·","Product reviews, Social proof, Product reviews, Social proof",(773) 831-9374
Appstle℠ Subscriptions ," Conveniently setup and manage subscriptions with robust merchant tools, and an intuitive UI  Discover the most powerful recurring order features in ecommerce, encompassing comprehensive and efficient subscription management tools, loyalty benefits, churn control, box subscriptions, and more.

We work with some of the largest e-commerce brands in the world (Universal Audio, Pela Earth, Inspired Go, Skin Authority) to bring exceptional subscription experiences to their stores in a few clicks.

Have a question or need customization? Our best in class merchant success team is minutes away!   Discover the most powerful recurring order features in ecommerce, encompassing comprehensive and efficient subscription management tools, loyalty benefits, churn control, box subscriptions, and more.

We work with some of the largest e-commerce brands in the world (Universal Audio, Pela Earth, Inspired Go, Skin Authority) to bring exceptional subscription experiences to their stores in a few clicks.

Have a question or need customization? Our best in class merchant success team is minutes away!  more         Sell regular and prepaid subscriptions, with free trial, build a box, and more         Offer tiered discounts, custom shipping, gifts, and more with loyalty features         Present feature rich customer portal with one click login and quick action links         Drive conversion with \'Appstle Menu\': a shopper experience focused menu template         Maximize ROI with upsells, bundling, bulk automation, retention tools, and more    ",Rating (4.9),"1,915","April 8, 2021","Subscriptions, Subscriptions",support@appstle.com
